",""IdLandkreis"",""Altersgruppe"",""Geschlecht"",""Meldedatum"",""Refdatum"",""IstErkrankungsbeginn"",""NeuerFall"",""NeuerTodesfall"",""NeuGenesen"",""AnzahlFall"",""AnzahlTodesfall"",""AnzahlGenesen"""
"223,9162,""A15-A34"",""M"",2022-01-29,2021-01-27,1,0,-9,0,1,0,1"
"224,9162,""A35-A59"",""M"",2022-02-01,2021-01-27,1,0,-9,0,1,0,1"
"225,9162,""A35-A59"",""M"",2022-01-30,2021-01-27,1,0,-9,0,2,0,2"
"226,9162,""A35-A59"",""M"",2022-01-31,2021-01-28,1,0,-9,0,1,0,1"
"227,9162,""A60-A79"",""M"",2022-01-02,2021-01-28,1,0,-9,0,1,0,1"
"228,9162,""A15-A34"",""M"",2022-01-30,2021-01-28,1,0,-9,0,1,0,1"
"229,9162,""A15-A34"",""M"",2022-02-03,2021-01-28,1,0,-9,0,1,0,1"
"230,9162,""A35-A59"",""M"",2022-02-01,2021-01-28,1,0,-9,0,1,0,1"
"231,9162,""A15-A34"",""M"",2022-02-02,2021-01-29,1,0,-9,0,1,0,1"
"232,9162,""A15-A34"",""M"",2022-02-03,2021-01-29,1,0,-9,0,1,0,1"
"233,9162,""A15-A34"",""M"",2022-02-04,2021-01-29,1,0,-9,0,1,0,1"
"234,9162,""A35-A59"",""M"",2022-02-02,2021-01-29,1,0,-9,0,1,0,1"
"235,9162,""A35-A59"",""M"",2022-02-04,2021-01-29,1,0,-9,0,1,0,1"
"236,9162,""A35-A59"",""M"",2022-02-11,2021-01-29,1,0,-9,0,1,0,1"
"237,9162,""A05-A14"",""M"",2022-02-01,2021-01-30,1,0,-9,0,1,0,1"
"238,9162,""A15-A34"",""M"",2022-02-03,2021-01-30,1,0,-9,0,1,0,1"
"239,9162,""A35-A59"",""M"",2022-02-01,2021-01-30,1,0,-9,0,1,0,1"
"240,9162,""A15-A34"",""M"",2022-02-04,2021-01-30,1,0,-9,0,1,0,1"
"241,9162,""A35-A59"",""M"",2022-02-02,2021-01-30,1,0,-9,0,1,0,1"
"242,9162,""A35-A59"",""M"",2022-02-03,2021-01-31,1,0,-9,0,1,0,1"
"243,9162,""A15-A34"",""M"",2022-02-06,2021-01-31,1,0,-9,0,1,0,1"
"244,9162,""A60-A79"",""M"",2022-02-01,2021-01-31,1,0,-9,0,1,0,1"
"245,9162,""A35-A59"",""M"",2022-02-02,2021-01-31,1,0,-9,0,2,0,2"
"246,9162,""A00-A04"",""M"",2022-02-04,2021-01-31,1,0,-9,0,1,0,1"
"247,9162,""A35-A59"",""M"",2022-02-01,2021-01-31,1,0,-9,0,1,0,1"
"248,9162,""A05-A14"",""M"",2022-01-10,2021-01-31,1,0,-9,0,1,0,1"
"249,9162,""A60-A79"",""M"",2022-02-06,2021-02-01,1,0,-9,0,1,0,1"
"250,9162,""A35-A59"",""M"",2022-02-04,2021-02-01,1,0,-9,0,1,0,1"
"251,9162,""A15-A34"",""M"",2022-02-04,2021-02-01,1,0,-9,0,1,0,1"
"252,9162,""A35-A59"",""M"",2022-02-06,2021-02-02,1,0,-9,0,2,0,2"
"253,9162,""A15-A34"",""M"",2022-02-03,2021-02-02,1,0,-9,0,1,0,1"
"254,9162,""A15-A34"",""M"",2022-02-09,2021-02-04,1,0,-9,0,1,0,1"
"255,9162,""A15-A34"",""M"",2022-02-07,2021-02-04,1,0,-9,0,1,0,1"
"256,9162,""A15-A34"",""M"",2022-02-06,2021-02-04,1,0,-9,0,1,0,1"
"257,9162,""A15-A34"",""M"",2022-02-08,2021-02-04,1,0,-9,0,1,0,1"
